"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年12月10日","15.865","15.850","15.880","15.850","-","0.82%"
"2017年12月8日","15.736","15.675","15.765","15.655","0.08K","0.13%"
"2017年12月7日","15.715","15.880","15.885","15.600","0.17K","-0.96%"
"2017年12月6日","15.868","16.040","16.050","15.870","0.21K","-0.66%"
"2017年12月5日","15.973","16.250","16.280","15.980","0.08K","-1.91%"
"2017年12月4日","16.284","16.310","16.340","16.190","0.89K","-0.77%"
"2017年12月3日","16.410","16.350","16.435","16.340","-","0.69%"
"2017年12月1日","16.297","16.385","16.485","16.200","0.52K","-0.52%"
"2017年11月30日","16.382","16.480","16.520","16.285","1.59K","-0.46%"
"2017年11月29日","16.457","16.810","16.865","16.450","22.56K","-2.11%"
"2017年11月28日","16.811","17.020","17.025","17.020","0.00K","-1.16%"
"2017年11月27日","17.009","17.020","17.020","17.020","0.00K","0.00%"
"2017年11月26日","17.009","17.025","17.025","16.998","-","0.16%"
"2017年11月24日","16.981","16.990","16.990","16.990","0.00K","-0.67%"
"2017年11月23日","17.096","17.096","17.157","17.067","-","-0.03%"
"2017年11月22日","17.101","17.101","17.101","17.101","-","0.90%"
"2017年11月21日","16.949","16.930","16.930","16.930","0.00K","0.73%"
"2017年11月20日","16.827","16.827","16.827","16.827","-","-2.54%"
"2017年11月19日","17.266","17.289","17.302","17.249","-","-0.53%"
"2017年11月17日","17.358","17.125","17.305","17.125","0.00K","1.77%"
"2017年11月16日","17.056","16.950","16.970","16.950","0.01K","0.63%"
"2017年11月15日","16.950","16.940","16.940","16.940","0.00K","-0.60%"
"2017年11月14日","17.052","16.905","16.905","16.905","0.00K","0.17%"
"2017年11月13日","17.023","16.840","17.010","16.840","0.00K","0.72%"
"2017年11月12日","16.902","16.872","16.911","16.864","-","0.34%"
"2017年11月10日","16.844","17.000","17.000","17.000","0.00K","-0.58%"
"2017年11月9日","16.943","16.930","16.930","16.930","0.00K","-0.95%"
"2017年11月8日","17.106","17.106","17.106","17.106","0.01K","1.19%"
